0,1,2,3,4
나,NP,1,3068,"('나', 'NP')"
너,NP,2,2791,"('너', 'NP')"
I,SL,3,2454,"('I', 'SL')"
you,SL,4,1670,"('you', 'SL')"
사랑,NNG,5,1665,"('사랑', 'NNG')"
없,VA,6,1612,"('없', 'VA')"
날,NNG,7,1162,"('날', 'NNG')"
me,SL,8,1126,"('me', 'SL')"
말,NNG,9,1089,"('말', 'NNG')"
더,MAG,10,895,"('더', 'MAG')"
하,VV,11,872,"('하', 'VV')"
내,NP,12,826,"('내', 'NP')"
the,SL,13,822,"('the', 'SL')"
같,VA,14,813,"('같', 'VA')"
my,SL,15,810,"('my', 'SL')"
우리,NP,16,796,"('우리', 'NP')"
다,MAG,17,753,"('다', 'MAG')"
m,SL,18,719,"('m', 'SL')"
it,SL,19,716,"('it', 'SL')"
그대,NP,20,689,"('그대', 'NP')"
밤,NNG,21,681,"('밤', 'NNG')"
t,SL,22,655,"('t', 'SL')"
있,VV,23,637,"('있', 'VV')"
때,NNG,24,637,"('때', 'NNG')"
또,MAG,25,629,"('또', 'MAG')"
보,VV,26,627,"('보', 'VV')"
좋,VA,27,599,"('좋', 'VA')"
a,SL,28,580,"('a', 'SL')"
oh,SL,29,567,"('oh', 'SL')"
안,MAG,30,549,"('안', 'MAG')"
눈,NNG,31,538,"('눈', 'NNG')"
사람,NNG,32,536,"('사람', 'NNG')"
마음,NNG,33,520,"('마음', 'NNG')"
love,SL,34,506,"('love', 'SL')"
맘,NNG,35,496,"('맘', 'NNG')"
다시,MAG,36,496,"('다시', 'MAG')"
yeah,SL,37,491,"('yeah', 'SL')"
You,SL,38,490,"('You', 'SL')"
속,NNG,39,485,"('속', 'NNG')"
알,VV,40,481,"('알', 'VV')"
생각,NNG,41,474,"('생각', 'NNG')"
to,SL,42,473,"('to', 'SL')"
s,SL,43,464,"('s', 'SL')"
네,NP,44,450,"('네', 'NP')"
너무,MAG,45,446,"('너무', 'MAG')"
못,MAG,46,423,"('못', 'MAG')"
되,VV,47,416,"('되', 'VV')"
시간,NNG,48,406,"('시간', 'NNG')"
and,SL,49,397,"('and', 'SL')"
like,SL,50,396,"('like', 'SL')"
OOV,-,51,95688,"('OOV', '-')"
